s,Source,Context,Max Line Width,English,Francais,German
challenge_maneater,,Challenge Info,,The Man Eater,,
challenge_maneater_offer,,Challenge Info,,"Hey Asshole,\nThe wasteland is a lonely desolate place. We've been looking in on you and think you might be a good addition to our clan. But before we take in another mouth to feed you'll need to prove yourself worthy. Do this task and we'll consider taking you in.\n\nCrazy ‘but still kicking' Jake\n\nChallenge: Kill some male zombies",,
challenge_maneater_subtitle,,Challenge Info,,Kill some Male Zombies,,
challenge_imalumberjackandimokay,,Challenge Info,,I'm a Lumberjack and I'm Okay,,
challenge_imalumberjackandimokay_offer,,Challenge Info,,"Hey Bastard,\nWe've been watching you and we know who you are. You seem like you can take care of yourself pretty well but let's see if you can handle this challenge. Do this and we might just induct you into our private club. You better dress warm.\n\nI'm crazy in the head, Crazy Jake\n\nChallenge: Kill some lumberjack zombies with a fireaxe",,
challenge_imalumberjackandimokay_subtitle,,Challenge Info,,Kill some Snow Zombies,,
challenge_yournothingspecial,,Challenge Info,,You're nothing Special,,
challenge_yournothingspecial_offer,,Challenge Info,,"Listen up Fucker,\nThe only reason you're not dead is because I like you. That's right we've been watching you. We could use someone with your talents so if you can handle this little tiny task you might just make it onto Team Crazy.\n\nI'm batshit crazy & loving it, Crazy Jake\n\nChallenge: Kill some special infected zombies",,
challenge_yournothingspecial_subtitle,,Challenge Info,,Kill some Special infected,,
challenge_killthewabbit,,Challenge Info,,Kill the Wabbit,,
challenge_killthewabbit_offer,,Challenge Info,,"Howdy Survivor,\nIf you've picked up this note then you know we've been observing you. You've got survival skills I'll give you that but let's see if you can pass this challenge and just maybe we'll let you join us.\n\nGood Luck Slick Willie\n\nChallenge: Kill some rabbits with a sawed off shotgun",,
challenge_killthewabbit_subtitle,,Challenge Info,,Kill Rabbits with Shotgun,,
challenge_nailsomechicks,,Challenge Info,,Nail Some Chicks,,
challenge_nailsomechicks_offer,,Challenge Info,,"Hello Friend,\nIf you're reading this note than you know we've been watching you. We're looking to add some new recruits and I think you've got what it takes. Do this little job and we might just make room for one more chicken in our coop. That is unless you're chicken ha ha.\n\nSlicker than greased goose shit...Willie\n\nChallenge: Kill some chickens with a Nailgun",,
challenge_nailsomechicks_subtitle,,Challenge Info,,Kill Chickens with Nailgun,,
challenge_thatlldopig,,Challenge Info,,That'll Do Pig,,
challenge_thatlldopig_offer,,Challenge Info,,"Greetings Traveler,\nIf you ‘all are holding this note then you should know my boys have been sticking to you like flies on pig shit. That's because we think you just might be Slick Willie material. Now if you can pull off this wee little task we might just call you kin.\n\nI aint no city slicker... Willie\n\nChallenge: Kill some pigs",,
challenge_thatlldopig_subtitle,,Challenge Info,,Kill Pigs,,
challenge_stagparty,,Challenge Info,,Stag Party,,
challenge_stagparty_offer,,Challenge Info,,"Well how do you do,\nFriend if you've reading this letter than you should know my crew has been watching you. Do this little task for us and we might let you join the Willies. If not don't let the door hit you where the good lord split you.\n\nSlick ‘as a whistle' Willie\n\nChallenge: Kill some Stags",,
challenge_stagparty_subtitle,,Challenge Info,,Kill Stags,,
challenge_dontfeedthebears,,Challenge Info,,Don't Feed the Bears,,
challenge_dontfeedthebears_offer,,Challenge Info,,"Howdy Friend,\nUnless you got shit for brains you probably know we've been following you. Now that we've got the pleasantries out of the way let me get right to the point. We want you to join the Willies but first you have to pass this initiation for us to consider it.\n\nSlicker than a minnow's dick...Willie\n\nChallenge: Kill some Bears",,
challenge_dontfeedthebears_subtitle,,Challenge Info,,Kill Bears,,
challenge_buythefarm,,Challenge Info,,Buy the Farm,,
challenge_buythefarm_offer,,Challenge Info,,"Well Survivor,\nI guess you found the note we left you. Now that the cat's out of the bag let's get down to business. We've been watching you and think you might make a good recruit. But before we open our doors to a stranger let's see if you can do this simple job.\n\nI'm slicker than cat shit on linoleum...Willie\n\nChallenge: Kill some Animals",,
challenge_buythefarm_subtitle,,Challenge Info,,Kill some Animals,,
treasure_taylor,,,,Taylor's Treasure Map,,
treasure_taylor_offer,,Challenge Info,,"Dear Survivor,\nIf you're reading this note than the worst has probably happened and the odds are I'm dead. But rather than let all my stashes of supplies go to waste I'd like you to have one of them. I've marked the location on this map for you.\n\nGood Luck Taylor",,
treasure_taylor_subtitle,,Challenge Info,,Taylor's Treasure Map,,
treasure_nickole,,,,Nickole's Treasure Map,,
treasure_nickole_offer,,Challenge Info,,"To whom it may concern,\nIf you've come to possess this note than quite possibly I've been eaten by the dead. Follow this map to one of my many valuable treasure locations I buried to keep safe from Crazy Jake. If you find it may you make good use of it.\n\nBest Wishes Nickole",,
treasure_nickole_subtitle,,Challenge Info,,Nickole's' Treasure Map,,
treasure_stephan,,,,Stephan's Treasure Map,,
treasure_stephan_offer,,Challenge Info,,"Dear Friend,\nIf you've got this note than I'm probably dead or even worse one of the monsters. I leave you this map to one of my many stockpiles of buried supplies. If you find it promise me you'll use it to make the world a better place again.\n\nYours Truly Stephan",,
treasure_stephan_subtitle,,Challenge Info,,Stephan's Treasure Map,,
treasure_jennifer,,,,Jennifer's Treasure Map,,
treasure_jennifer_offer,,Challenge Info,,"To whomever finds this note,\nFriend the end is near. The monsters are breaking down my door but in my final moments I can only think of how I want to be remembered. Not as a coward but as someone who thinks of others. I leave you this map to one of my many secret buried chests.\n\nGod Bless You Jennifer",,
treasure_jennifer_subtitle,,Challenge Info,,Jennifer's Treasure Map,,
treasure_claude,,,,Claude's Treasure Map,,
treasure_claude_offer,,Challenge Info,,"Hello Friend,\nI don't even know you but I have to share my thoughts in my darkest hour. I've been bitten by one of the monsters and I can feel myself turning. As I fight the urge to eat my own family I feel the need to do one last good deed. Follow this map to one of my many personal stashes. May it keep you alive.\n\nSincerely Claude",,
treasure_claude_subtitle,,Challenge Info,,Claude's Treasure Map,,
treasure_sarah,,,,Sarah's Treasure Map,,
treasure_sarah_offer,,Challenge Info,,"If you found this note,\nThis may be your lucky day. I've been bitten by one of the creatures and the fever has taken hold. I don't have long but the least I could do before I turn is help someone, anyone as God would want me to. If there is still a God. So I leave you with this map to one of my many buried supply chests.\n\nTo a new life Sarah",,
treasure_sarah_subtitle,,Challenge Info,,Sarah's Treasure Map,,
treasure_raphael,,,,Raphael's Treasure Map,,
treasure_raphael_offer,,Challenge Info,,"Dear Stranger,\nI've got the cold sweats and it won't be long. All I can think of in my final hour is if my son Joey is still alive. I have no reason to trust you but I have no choice. Crazy Jake has kidnapped him. In your hand is a map to one of my many secret supply caches. Promise me if you find it you'll help my son.\n\nI'm counting you Raphael",,
treasure_raphael_subtitle,,Challenge Info,,Raphael's Treasure Map,,
